	Date	Symbol	TodayPrice	OpDate_0	callEst_0	putEst_0	combEst_0	Trend_0	OpDate_1	callEst_1	putEst_1	combEst_1	Trend_1	OpDate_2	callEst_2	putEst_2	combEst_2	Trend_2
0	2017-11-16	YELP	45.98	2017-11-17	47.806	39.22	44.449	Flat	2017-12-17	48.53	42.654	43.978	Down	2018-01-18	48.862	26.773	44.407	Up
1	2017-11-16	VIPS	8.675	2017-11-17	12.133	8.768	10.542	Flat	2017-12-17	9.419		9.419	Flat	2018-01-18	11.871	5.968	9.204	Flat
2	2017-11-16	BABA	184.695	2017-11-17	189.762	179.858	186.9	Up	2017-12-17	194.665	176.696	185.995	Flat	2018-01-18	197.529	149.603	182.468	Up
3	2017-11-16	XLNX	72.045	2017-11-17	74.616	71.389	73.31	Flat	2017-12-17	87.239	66.093	76.464	Flat	2018-01-18	76.464	54.777	72.529	Up
4	2017-11-16	ATVI	63.715	2017-11-17	66.281	59.85	63.514	Flat	2017-12-17	67.196	56.134	63.195	Flat	2018-01-18	67.561	48.901	63.243	Up
5	2017-11-16	SNAP	12.53	2017-11-17	17.118	12.406	14.226	Flat	2017-12-17	14.842	11.368	12.967	Flat	2018-01-18	19.555	11.503	14.898	Flat
6	2017-11-16	RENN	9.965	2017-11-17	10.682	8.395	10.222	Up	2017-12-17	10.928	7.683	10.579	Up	2018-01-18	10.928	7.683	10.579	Up
7	2017-11-16	GPRO	8.235	2017-11-17	11.522	8.471	9.692	Flat	2017-12-17	9.765	8.11	8.815	Flat	2018-01-18	14.03	5.856	9.986	Flat
8	2017-11-16	AMD	11.225	2017-11-17	12.547	10.918	11.63	Flat	2017-12-17	12.247	10.366	11.614	Flat	2018-01-18	14.235	9.144	12.752	Up
9	2017-11-16	SQ	41.245	2017-11-17	41.853	36.795	40.772	Up	2017-12-17	43.005	35.744	41.823	Up	2018-01-18	42.662	32.562	39.952	Up
10	2017-11-16	WB	115.64	2017-11-17	117.564	94.73	112.081	Up	2017-12-17	108.22	95.784	106.566	Up	2018-01-18	116.28	71.208	99.606	Flat
11	2017-11-16	MOMO	32.055	2017-11-17	33.28	30.004	32.059	Flat	2017-12-17	34.703	26.72	32.459	Up	2018-01-18	38.714	29.552	34.427	Flat
12	2017-11-16	NQ	4.12	2017-11-17	4.147	3.491	4.042	Up	2017-12-17	4.1	4.285	4.134	Up	2018-01-18	4.664	2.806	4.179	Up
13	2017-11-16	AAPL	171.085	2017-11-17	177.234	159.605	168.17	Flat	2017-12-17	181.417	162.195	173.205	Flat	2018-01-18	182.669	127.983	160.49	Flat
14	2017-11-16	QIWI	17.27	2017-11-17	19.005	15.753	17.43	Flat	2017-12-17	19.295	14.089	16.91	Flat	2018-01-18	19.295	14.089	16.91	Flat
15	2017-11-16	NVDA	213.16	2017-11-17	221.734	195.478	212.382	Flat	2017-12-17	227.069	192.898	209.67	Flat	2018-01-18	220.712	145.293	198.25	Up
16	2017-11-16	BIDU	237.37	2017-11-17	247.204	226.878	238.454	Flat	2017-12-17	265.136	221.686	248.167	Flat	2018-01-18	257.569	182.757	224.791	Flat
17	2017-11-16	TWTR	20.24	2017-11-17	21.036	19.622	20.719	Up	2017-12-17	23.365	18.505	22.456	Up	2018-01-18	24.001	16.719	22.01	Up
18	2017-11-16	GOOG	1029.22	2017-11-17	1060.775	930.126	1023.04	Up	2017-12-17	1108.868	952.032	1068.158	Up	2018-01-18	1099.91	708.154	998.812	Up
19	2017-11-16	MRVL	20.195	2017-11-17	20.374	17.205	18.639	Flat	2017-12-17	21.585	18.938	20.635	Flat	2018-01-18	20.508	13.08	18.902	Up
20	2017-11-16	JD	39.96	2017-11-17	41.618	39.386	40.988	Up	2017-12-17	42.245	37.748	40.983	Up	2018-01-18	46.105	36.126	42.706	Flat
21	2017-11-16	CTRP	46.695	2017-11-17	50.532	46.674	49.004	Flat	2017-12-17	47.798	44.1	45.409	Flat	2018-01-18	53.611	45.375	50.526	Flat
22	2017-11-16	TSLA	315.225	2017-11-17	338.706	299.491	318.27	Flat	2017-12-17	337.896	287.289	315.224	Flat	2018-01-18	382.502	214.006	294.491	Flat
23	2017-11-16	LSCC	6.22	2017-11-17	6.899	2.5	5.784	Up	2017-12-17	7.14	4.63	7.054	Up	2018-01-18	7.14	4.63	7.054	Up
24	2017-11-16	FB	179.165	2017-11-17	184.059	159.514	174.855	Flat	2017-12-17	186.658	168.565	176.653	Flat	2018-01-18	194.491	137.534	172.704	Flat
25	2017-11-16	QCOM	65.985	2017-11-17	66.159	59.009	64.535	Up	2017-12-17	68.415	59.933	66.679	Up	2018-01-18	69.028	49.071	61.787	Flat
26	2017-11-16	VRX	14.385	2017-11-17	14.913	13.715	14.508	Flat	2017-12-17	15.707	13.331	15.143	Up	2018-01-18	25.823	12.476	20.611	Flat
27	2017-11-16	NFLX	195.725	2017-11-17	203.558	189.121	197.131	Flat	2017-12-17	204.426	183.792	193.992	Flat	2018-01-18	207.984	123.684	165.825	Flat
28	2017-11-16	SINA	106.77	2017-11-17	115.844	101.272	110.321	Flat	2017-12-17	124.446	79.429	113.11	Up	2018-01-18	124.446	79.429	113.11	Up
29	2017-11-16	SFUN	4.86	2017-11-17	5.2	4.161	4.792	Flat	2017-12-17	6.567	4.277	6.119	Up	2018-01-18	6.567	4.277	6.119	Up
30	2017-11-16	QD	24.405	2017-11-17	29.77	23.406	28.367	Up	2017-12-17	32.365	20.102	29.126	Up	2018-01-18	32.365	20.102	29.126	Up
31	2017-11-16	NTES	318.65	2017-11-17	330.436	280.733	304.006	Flat	2017-12-17	344.916	258.551	311.443	Flat	2018-01-18	342.383	240.92	300.938	Flat
