	Date	Symbol	TodayPrice	OpDate_0	callEst_0	putEst_0	combEst_0	Trend_0	OpDate_1	callEst_1	putEst_1	combEst_1	Trend_1	OpDate_2	callEst_2	putEst_2	combEst_2	Trend_2
0	2017-11-17	VRX	14.52	2017-11-17	15.031	13.884	14.616	Flat	2017-12-17	15.93	13.414	15.403	Up	2018-01-18	27.856	12.353	21.536	Flat
1	2017-11-17	NFLX	194.525	2017-11-17	201.895	188.751	196.135	Flat	2017-12-17	203.833	183.319	194.304	Flat	2018-01-18	206.148	115.959	154.923	Flat
2	2017-11-17	NVDA	213.405	2017-11-17	220.319	203.899	215.605	Up	2017-12-17	229.372	192.451	212.174	Flat	2018-01-18	219.576	137.006	192.625	Up
3	2017-11-17	AMD	11.515	2017-11-17	12.247	11.338	11.774	Flat	2017-12-17	13.161	10.454	12.626	Up	2018-01-18	14.039	9.808	12.915	Up
4	2017-11-17	YELP	46.24	2017-11-17	48.143	38.523	45.002	Up	2017-12-17	48.651	42.98	44.262	Down	2018-01-18	48.878	27.242	43.471	Up
5	2017-11-17	GOOG	1030.77	2017-11-17	1056.826	912.887	1015.783	Up	2017-12-17	1110.378	914.849	1041.297	Flat	2018-01-18	1093.803	714.694	987.233	Up
6	2017-11-17	BABA	185.585	2017-11-17	188.196	177.008	183.998	Flat	2017-12-17	194.456	176.639	184.982	Flat	2018-01-18	194.914	153.006	183.024	Up
7	2017-11-17	WB	116.425	2017-11-17	116.94	94.628	110.147	Up	2017-12-17	112.598	95.369	110.382	Up	2018-01-18	119.871	65.958	96.782	Flat
8	2017-11-17	MRVL	20.345	2017-11-17	20.364	17.251	18.696	Flat	2017-12-17	21.513	18.962	20.608	Flat	2018-01-18	20.554	13.825	18.76	Up
9	2017-11-17	LSCC	6.23	2017-11-17	6.807	2.5	5.827	Up	2017-12-17	7.116	4.63	7.032	Up	2018-01-18	7.116	4.63	7.032	Up
10	2017-11-17	NTES	357.55	2017-11-17	366.404	296.245	339.794	Flat	2017-12-17	372.167	260.3	329.511	Flat	2018-01-18	376.562	251.952	327.721	Flat
