	Date	Symbol	TodayPrice	OpDate_0	callEst_0	putEst_0	combEst_0	Trend_0	OpDate_1	callEst_1	putEst_1	combEst_1	Trend_1	OpDate_2	callEst_2	putEst_2	combEst_2	Trend_2
0	2017-11-27	AAPL	174.21	2017-12-17	180.457	164.555	173.615	Flat	2018-01-18	182.466	141.513	167.666	Flat	2018-02-18	190.311	143.347	172.09	Flat
1	2017-11-27	AMBA	57.84	2017-12-17	62.068	51.45	59.701	Up	2018-01-18	69.809	45.174	64.74	Up	2018-02-18	74.659	47.122	65.841	Up
2	2017-11-27	AMCN	2.17	2017-12-17	2.65	0.0	2.65	Up	2018-01-18	2.65	0.0	2.65	Up	2018-02-18	3.535	1.96	2.601	Flat
3	2017-11-27	AMD	11.54	2017-12-17	12.92	10.483	12.394	Up	2018-01-18	14.235	10.621	13.225	Up	2018-02-18	14.081	10.026	11.917	Flat
4	2017-11-27	ATHM	63.35	2017-12-17	71.152	50.651	65.504	Up	2018-01-18	71.152	50.651	65.504	Up	2018-02-18	68.428	36.559	60.547	Up
5	2017-11-27	ATVI	66.04	2017-12-17	66.921	61.241	65.06	Up	2018-01-18	68.034	48.882	62.463	Up	2018-02-18	72.485	56.364	64.546	Flat
6	2017-11-27	BABA	190.1	2017-12-17	194.699	178.372	185.662	Flat	2018-01-18	197.712	138.126	175.742	Flat	2018-02-18	211.863	159.599	186.799	Flat
7	2017-11-27	BIDU	247.295	2017-12-17	267.126	225.885	245.896	Flat	2018-01-18	274.502	200.73	247.457	Flat	2018-02-18	287.117	203.092	261.032	Up
8	2017-11-27	CTRP	46.77	2017-12-17	48.324	44.869	45.422	Down	2018-01-18	54.381	44.627	48.961	Flat	2018-02-18	59.57	42.312	45.258	Down
9	2017-11-27	FB	182.86	2017-12-17	189.032	171.842	181.55	Flat	2018-01-18	194.603	139.275	174.282	Flat	2018-02-18	192.341	148.156	174.931	Flat
10	2017-11-27	FIT	6.64	2017-12-17	6.823	6.032	6.575	Up	2018-01-18	10.583	4.674	7.426	Flat	2018-02-18	8.098	5.111	7.44	Up
11	2017-11-27	GME	17.845	2017-12-17	18.673	16.25	18.144	Up	2018-01-18	19.876	17.023	17.411	Down	2018-02-18	20.254	14.118	17.366	Flat
12	2017-11-27	GOOG	1046.1	2017-12-17	1090.458	948.224	1052.811	Up	2018-01-18	1100.648	756.874	989.686	Up	2018-02-18	1133.839	912.836	1115.754	Up
13	2017-11-27	GPRO	8.55	2017-12-17	10.125	8.434	9.243	Flat	2018-01-18	13.063	6.484	8.947	Flat	2018-02-18	11.195	7.522	9.334	Flat
14	2017-11-27	GRMN	61.9	2017-12-17	62.634	58.392	60.107	Flat	2018-01-18	62.635	33.13	59.284	Up	2018-02-18	64.483	50.627	63.803	Up
15	2017-11-27	GRPN	5.66	2017-12-17	5.969	5.072	5.642	Flat	2018-01-18	5.996	4.936	5.949	Up	2018-02-18	6.482	3.823	6.029	Up
16	2017-11-27	INTL	43.44	2017-12-17	43.672	35.414	41.491	Up	2018-01-18	43.672	35.414	41.491	Up	2018-02-18	47.05	29.85	45.308	Up
17	2017-11-27	JD	38.825	2017-12-17	41.089	37.257	39.299	Flat	2018-01-18	44.997	34.839	40.951	Flat	2018-02-18	44.037	35.209	40.902	Flat
18	2017-11-27	LC	4.205	2017-12-17	7.329	3.974	5.589	Flat	2018-01-18	7.329	3.974	5.589	Flat	2018-02-18	6.077	3.918	5.747	Up
19	2017-11-27	LSCC	6.21	2017-12-17	7.55	0.0	7.55	Up	2018-01-18	7.55	0.0	7.55	Up	2018-02-18	7.169	4.801	7.03	Up
20	2017-11-27	MOMO	31.665	2017-12-17	35.058	27.718	32.13	Flat	2018-01-18	41.279	29.307	35.534	Flat	2018-02-18	39.104	26.049	30.716	Flat
21	2017-11-27	MRVL	23.445	2017-12-17	24.613	21.633	23.687	Up	2018-01-18	23.416	14.53	20.848	Up	2018-02-18	25.301	19.458	24.37	Up
22	2017-11-27	MSFT	83.64	2017-12-17	85.612	79.664	82.806	Flat	2018-01-18	86.087	68.788	78.945	Flat	2018-02-18	89.757	74.455	86.391	Up
23	2017-11-27	NFLX	194.925	2017-12-17	202.478	184.681	194.541	Flat	2018-01-18	208.0	130.83	167.01	Flat	2018-02-18	218.933	164.404	187.434	Flat
24	2017-11-27	NKE	59.435	2017-12-17	60.638	55.54	59.515	Up	2018-01-18	62.319	50.566	55.662	Flat	2018-02-18	63.459	48.844	51.897	Down
25	2017-11-27	NQ	4.385	2017-12-17	4.137	4.355	4.174	Up	2018-01-18	4.703	2.91	4.313	Up	2018-02-18	4.85	2.2	4.461	Up
26	2017-11-27	NTES	338.86	2017-12-17	359.403	282.422	337.652	Up	2018-01-18	371.361	248.844	323.333	Flat	2018-02-18	375.163	260.761	291.109	Down
27	2017-11-27	NVDA	215.7	2017-12-17	225.093	195.987	208.27	Flat	2018-01-18	223.485	139.889	183.051	Flat	2018-02-18	231.62	164.817	206.078	Flat
28	2017-11-27	PSTG	18.575	2017-12-17	19.198	9.914	18.239	Up	2018-01-18	19.198	9.914	18.239	Up	2018-02-18	22.916	15.992	22.129	Up
29	2017-11-27	PYPL	78.55	2017-12-17	80.955	71.219	76.888	Flat	2018-01-18	79.222	59.474	73.752	Up	2018-02-18	84.889	61.248	80.094	Up
30	2017-11-27	QCOM	68.68	2017-12-17	69.703	58.726	67.031	Up	2018-01-18	70.177	50.69	59.563	Flat	2018-02-18	73.1	53.981	65.255	Flat
31	2017-11-27	QD	13.885	2017-12-17	17.706	11.941	13.824	Down	2018-01-18	17.706	11.941	13.824	Down	2018-02-18	25.744	11.851	18.94	Flat
32	2017-11-27	QIWI	16.415	2017-12-17	16.371	14.6	15.92	Up	2018-01-18	16.371	14.6	15.92	Up	2018-02-18	17.681	15.374	16.999	Up
33	2017-11-27	RACE	112.37	2017-12-17	120.663	106.771	112.328	Flat	2018-01-18	118.627	91.196	108.515	Flat	2018-02-18	122.892	98.326	102.908	Down
34	2017-11-27	RENN	9.83	2017-12-17	11.103	7.712	10.736	Up	2018-01-18	11.103	7.712	10.736	Up	2018-02-18	11.98	7.974	11.97	Up
