	Date	Symbol	TodayPrice	OpDate_0	callEst_0	putEst_0	combEst_0	Trend_0	OpDate_1	callEst_1	putEst_1	combEst_1	Trend_1
0	2018-01-04	AAPL	173.03	2018-01-19	178.0	148.323	164.314	Flat	2018-02-16	183.828	156.664	174.605	Flat
1	2018-01-04	AKAO	11.77	2018-01-19	12.497	10.362	11.625	Flat	2018-02-16	13.382	9.834	11.552	Flat
2	2018-01-04	AMBA	63.3	2018-01-19	68.144	50.395	64.486	Up	2018-02-16	67.872	49.101	62.483	Up
3	2018-01-04	AMCN	1.17	2018-01-19	2.5	1.75	2.404	Up	2018-02-16	2.5	1.4	1.84	Flat
4	2018-01-04	AMD	12.12	2018-01-19	13.248	11.305	12.593	Flat	2018-02-16	12.871	10.82	11.422	Down
5	2018-01-04	APRN	3.99	2018-01-19	6.684	3.973	4.501	Down	2018-02-16	4.774	3.45	4.487	Up
6	2018-01-04	ATHM	73.3	2018-01-19	73.768	57.687	70.739	Up	2018-02-16	76.325	67.787	73.879	Up
7	2018-01-04	ATVI	64.66	2018-01-19	65.35	54.548	61.862	Up	2018-02-16	68.509	56.189	64.374	Flat
8	2018-01-04	BA	296.67	2018-01-19	300.064	225.848	255.304	Flat	2018-02-16	301.906	257.26	283.774	Flat
9	2018-01-04	BABA	185.71	2018-01-19	189.841	164.559	180.619	Flat	2018-02-16	196.045	167.906	187.377	Up
10	2018-01-04	BBY	67.28	2018-01-19	68.008	51.23	60.646	Flat	2018-02-16	69.476	65.162	67.142	Flat
11	2018-01-04	BIDU	245.73	2018-01-19	254.788	203.696	234.374	Flat	2018-02-16	270.626	211.488	243.718	Flat
12	2018-01-04	CTRP	46.21	2018-01-19	48.992	44.5	45.981	Down	2018-02-16	49.403	43.121	48.319	Up
13	2018-01-04	DDD	9.36	2018-01-19	11.906	9.164	10.16	Flat	2018-02-16	12.127	9.032	10.034	Down
14	2018-01-04	DFS	78.25	2018-01-19	78.528	49.226	66.849	Flat	2018-02-16	80.87	75.42	78.863	Flat
15	2018-01-04	DLB	63.07	2018-01-19	63.57	59.174	62.78	Up	2018-02-16	62.167	61.2	61.996	Up
16	2018-01-04	EFX	121.64	2018-01-19	125.135	83.453	99.353	Flat	2018-02-16	125.746	112.26	123.893	Up
17	2018-01-04	FB	184.33	2018-01-19	190.157	152.085	177.233	Flat	2018-02-16	192.479	169.169	187.084	Up
18	2018-01-04	FIT	5.98	2018-01-19	8.235	4.745	6.284	Flat	2018-02-16	7.465	5.533	6.71	Flat
19	2018-01-04	FL	46.31	2018-01-19	48.494	41.552	45.469	Flat	2018-02-16	49.577	40.636	45.468	Flat
20	2018-01-04	GLID	0.0	2018-01-19	0.0	0.0	0.0	Flat	2018-02-16	0.0	0.0	0.0	Flat
21	2018-01-04	GLUU	3.67	2018-01-19	3.965	3.196	3.635	Flat	2018-02-16	4.177	3.507	4.093	Up
22	2018-01-04	GME	18.32	2018-01-19	21.807	17.746	18.58	Down	2018-02-16	19.946	16.456	17.843	Flat
23	2018-01-04	GOOG	1086.4	2018-01-19	1116.321	887.165	1055.837	Up	2018-02-16	1149.969	982.063	1100.953	Up
24	2018-01-04	GPRO	7.57	2018-01-19	11.755	7.847	9.286	Flat	2018-02-16	9.228	7.02	7.397	Down
25	2018-01-04	GRMN	60.27	2018-01-19	61.541	46.699	57.184	Up	2018-02-16	62.368	57.766	60.997	Up
26	2018-01-04	GRPN	5.12	2018-01-19	5.751	4.063	5.423	Up	2018-02-16	6.812	4.658	5.225	Down
27	2018-01-04	GRUB	71.88	2018-01-19	71.644	53.963	70.065	Up	2018-02-16	77.878	64.796	71.051	Flat
28	2018-01-04	INTC	44.43	2018-01-19	46.263	42.473	44.686	Flat	2018-02-16	46.983	41.33	45.304	Up
29	2018-01-04	INTL	43.62	2018-01-19	43.822	36.385	39.841	Flat	2018-02-16	44.4	35.0	41.159	Flat
30	2018-01-04	JD	43.67	2018-01-19	44.47	37.97	42.133	Flat	2018-02-16	45.897	40.544	44.715	Up
31	2018-01-04	JRJC	3.2	2018-01-19	4.272	2.276	4.072	Up	2018-02-16	3.636	2.0	3.578	Up
32	2018-01-04	JWN	48.06	2018-01-19	50.378	43.308	46.561	Flat	2018-02-16	51.21	43.841	50.569	Up
33	2018-01-04	KMK	0.0	2018-01-19	0.0	0.0	0.0	Flat	2018-02-16	0.0	0.0	0.0	Flat
34	2018-01-04	LC	4.1	2018-01-19	6.578	3.744	5.196	Flat	2018-02-16	4.538	3.816	4.471	Up
35	2018-01-04	LOGI	34.16	2018-01-19	35.693	32.838	34.875	Up	2018-02-16	36.109	30.216	31.358	Down
36	2018-01-04	LSCC	5.98	2018-01-19	7.422	0.0	7.422	Up	2018-02-16	10.0	0.0	10.0	Up
37	2018-01-04	LUV	64.7	2018-01-19	65.599	53.547	62.58	Up	2018-02-16	66.461	61.437	63.753	Flat
38	2018-01-04	M	24.49	2018-01-19	26.274	21.744	23.254	Flat	2018-02-16	27.785	22.246	25.574	Flat
39	2018-01-04	MOMO	26.87	2018-01-19	32.097	25.175	29.266	Flat	2018-02-16	29.429	23.11	25.267	Flat
40	2018-01-04	MRVL	23.41	2018-01-19	23.704	15.642	20.043	Flat	2018-02-16	24.622	20.5	23.421	Up
41	2018-01-04	MSFT	87.11	2018-01-19	87.748	77.198	83.061	Flat	2018-02-16	89.253	75.283	85.316	Up
42	2018-01-04	NFLX	205.63	2018-01-19	209.338	155.475	185.502	Flat	2018-02-16	216.08	159.991	174.354	Down
