	Date	Symbol	TodayPrice	OpDate_0	callEst_0	putEst_0	combEst_0	Trend_0	OpDate_1	callEst_1	putEst_1	combEst_1	Trend_1	OpDate_2	callEst_2	putEst_2	combEst_2	Trend_2
0	2017-11-22	AAPL	174.025	2017-12-17	180.098	164.422	173.639	Flat	2018-01-18	181.511	133.873	161.06	Flat	2018-02-18	190.558	143.816	172.147	Flat
1	2017-11-22	AMBA	57.47	2017-12-17	61.699	50.982	59.747	Up	2018-01-18	70.159	44.122	64.432	Up	2018-02-18	70.84	46.791	62.948	Up
2	2017-11-22	AMCN	2.135	2017-12-17	2.7	0.0	2.7	Up	2018-01-18	2.7	0.0	2.7	Up	2018-02-18	3.535	1.862	2.548	Flat
3	2017-11-22	AMD	11.395	2017-12-17	12.396	10.747	11.959	Up	2018-01-18	14.073	10.281	13.463	Up	2018-02-18	14.284	10.035	12.439	Flat
4	2017-11-22	ATHM	64.68	2017-12-17	72.147	55.987	70.241	Up	2018-01-18	72.147	55.987	70.241	Up	2018-02-18	68.641	39.596	60.777	Up
5	2017-11-22	ATVI	65.6	2017-12-17	66.836	57.496	63.74	Flat	2018-01-18	67.183	49.592	62.456	Up	2018-02-18	72.619	55.594	63.55	Flat
6	2017-11-22	BABA	190.56	2017-12-17	195.864	177.6	185.571	Flat	2018-01-18	196.476	147.67	181.463	Up	2018-02-18	213.192	153.298	185.442	Flat
7	2017-11-22	BIDU	249.645	2017-12-17	267.038	224.066	248.977	Flat	2018-01-18	275.739	209.444	253.139	Flat	2018-02-18	287.212	206.233	258.105	Flat
8	2017-11-22	CTRP	48.27	2017-12-17	48.337	44.742	45.038	Down	2018-01-18	54.427	44.497	49.629	Flat	2018-02-18	61.244	42.389	45.444	Down
9	2017-11-22	FB	181.085	2017-12-17	187.739	166.713	179.9	Flat	2018-01-18	194.594	141.082	179.932	Up	2018-02-18	193.713	142.435	171.752	Flat
10	2017-11-22	FIT	6.595	2017-12-17	6.73	5.957	6.551	Up	2018-01-18	9.039	4.457	6.623	Flat	2018-02-18	8.475	5.208	7.698	Up
11	2017-11-22	GME	18.0	2017-12-17	18.008	15.576	16.388	Flat	2018-01-18	20.936	16.481	17.42	Down	2018-02-18	20.353	14.425	17.433	Flat
12	2017-11-22	GOOG	1035.57	2017-12-17	1093.806	943.17	1047.722	Up	2018-01-18	1093.04	677.521	970.714	Up	2018-02-18	1140.481	951.669	1123.09	Up
13	2017-11-22	GPRO	8.675	2017-12-17	10.084	8.193	9.305	Flat	2018-01-18	13.672	8.084	11.582	Flat	2018-02-18	11.368	6.97	9.882	Flat
14	2017-11-22	GRMN	61.805	2017-12-17	62.588	58.299	60.051	Flat	2018-01-18	62.55	41.416	58.471	Up	2018-02-18	65.073	46.705	59.302	Up
15	2017-11-22	GRPN	5.66	2017-12-17	6.446	5.07	5.591	Flat	2018-01-18	5.973	3.9	5.446	Up	2018-02-18	6.367	3.867	5.661	Up
16	2017-11-22	INTL	43.435	2017-12-17	43.88	35.911	41.762	Up	2018-01-18	43.88	35.911	41.762	Up	2018-02-18	46.87	29.85	45.146	Up
17	2017-11-22	JD	39.955	2017-12-17	42.051	37.422	40.203	Flat	2018-01-18	43.488	35.36	40.5	Flat	2018-02-18	49.999	35.122	40.688	Flat
18	2017-11-22	LC	4.315	2017-12-17	7.496	3.988	5.561	Flat	2018-01-18	7.496	3.988	5.561	Flat	2018-02-18	6.126	3.884	5.886	Up
19	2017-11-22	LSCC	6.425	2017-12-17	7.235	4.153	7.105	Up	2018-01-18	7.235	4.153	7.105	Up	2018-02-18	7.235	4.153	7.105	Up
20	2017-11-22	MOMO	31.905	2017-12-17	34.952	27.5	32.456	Flat	2018-01-18	41.481	29.871	36.575	Flat	2018-02-18	42.29	27.934	38.32	Up
21	2017-11-22	MRVL	23.825	2017-12-17	24.518	21.597	23.709	Up	2018-01-18	23.841	14.034	21.439	Up	2018-02-18	25.231	18.541	24.049	Up
22	2017-11-22	MSFT	83.47	2017-12-17	85.769	79.579	82.86	Flat	2018-01-18	85.036	57.68	71.474	Flat	2018-02-18	88.607	72.572	84.226	Up
23	2017-11-22	NFLX	195.19	2017-12-17	202.509	183.468	192.017	Flat	2018-01-18	209.021	121.23	162.29	Flat	2018-02-18	221.23	163.795	191.45	Flat
24	2017-11-22	NKE	59.14	2017-12-17	60.013	52.423	58.452	Up	2018-01-18	61.819	51.144	56.073	Flat	2018-02-18	62.622	54.056	61.031	Up
25	2017-11-22	NQ	4.37	2017-12-17	4.146	4.355	4.182	Up	2018-01-18	4.557	2.852	4.188	Up	2018-02-18	4.897	1.863	4.417	Up
