	Date	Symbol	TodayPrice	OpDate_0	callEst_0	putEst_0	combEst_0	Trend_0	OpDate_1	callEst_1	putEst_1	combEst_1	Trend_1
0	2018-01-08	AAPL	174.35	2018-01-19	178.375	150.062	165.619	Flat	2018-02-16	184.553	158.254	175.825	Flat
1	2018-01-08	AKAO	11.44	2018-01-19	12.542	9.77	11.542	Flat	2018-02-16	13.162	9.552	11.265	Flat
2	2018-01-08	AMBA	62.66	2018-01-19	68.474	51.193	64.599	Up	2018-02-16	73.905	49.859	68.987	Up
3	2018-01-08	AMCN	1.17	2018-01-19	2.5	1.75	2.404	Up	2018-02-16	2.5	1.4	1.84	Flat
4	2018-01-08	AMD	12.28	2018-01-19	12.784	11.357	12.211	Flat	2018-02-16	13.169	10.944	11.596	Down
5	2018-01-08	APRN	3.71	2018-01-19	6.116	3.977	4.562	Down	2018-02-16	4.678	3.459	4.302	Up
6	2018-01-08	ATHM	74.95	2018-01-19	74.655	59.683	70.191	Up	2018-02-16	78.713	67.219	75.378	Up
7	2018-01-08	ATVI	66.63	2018-01-19	66.918	55.346	63.473	Up	2018-02-16	69.739	56.913	65.449	Flat
8	2018-01-08	BA	310.15	2018-01-19	311.163	242.779	272.964	Flat	2018-02-16	317.378	262.24	295.47	Flat
9	2018-01-08	BABA	190.33	2018-01-19	192.493	167.196	183.541	Flat	2018-02-16	198.718	171.899	189.948	Up
10	2018-01-08	BBY	69.69	2018-01-19	70.063	52.103	61.572	Flat	2018-02-16	72.104	65.796	69.144	Flat
11	2018-01-08	BIDU	250.82	2018-01-19	259.585	201.219	235.537	Flat	2018-02-16	277.246	209.235	247.506	Flat
12	2018-01-08	CTRP	47.2	2018-01-19	51.693	44.641	47.991	Flat	2018-02-16	48.535	42.842	46.23	Flat
13	2018-01-08	DDD	9.31	2018-01-19	12.241	9.192	10.088	Down	2018-02-16	10.558	8.984	9.37	Down
14	2018-01-08	DFS	77.57	2018-01-19	78.469	49.293	66.667	Flat	2018-02-16	80.699	74.896	78.54	Flat
15	2018-01-08	DLB	63.4	2018-01-19	63.549	59.174	62.769	Up	2018-02-16	63.519	61.2	63.11	Up
16	2018-01-08	EFX	121.99	2018-01-19	125.7	84.586	98.867	Flat	2018-02-16	125.617	113.776	122.384	Up
17	2018-01-08	FB	188.28	2018-01-19	190.558	154.4	179.565	Up	2018-02-16	194.554	173.655	190.23	Up
18	2018-01-08	FIT	5.65	2018-01-19	8.196	4.668	6.164	Flat	2018-02-16	7.304	5.415	6.685	Up
19	2018-01-08	FL	46.97	2018-01-19	51.722	40.549	47.161	Flat	2018-02-16	50.141	40.895	46.872	Flat
20	2018-01-08	GLID	0.0	2018-01-19	0.0	0.0	0.0	Flat	2018-02-16	0.0	0.0	0.0	Flat
21	2018-01-08	GLUU	3.8	2018-01-19	3.902	3.239	3.669	Flat	2018-02-16	4.136	3.611	4.099	Up
22	2018-01-08	GME	19.23	2018-01-19	21.417	18.235	18.833	Down	2018-02-16	20.116	16.457	17.917	Flat
23	2018-01-08	GOOG	1106.94	2018-01-19	1130.458	909.874	1077.7	Up	2018-02-16	1158.671	987.127	1114.049	Up
