	Date	Symbol	TodayPrice	OpDate_0	callEst_0	putEst_0	combEst_0	Trend_0	OpDate_1	callEst_1	putEst_1	combEst_1	Trend_1	OpDate_2	callEst_2	putEst_2	combEst_2	Trend_2	OpDate_3	callEst_3	putEst_3	combEst_3	Trend_3
0	2017-11-20	AAPL	170.06	2017-11-24	174.481	164.609	170.55	Flat	2017-12-17	180.912	161.044	173.533	Flat	2018-01-18	180.992	135.197	161.325	Flat	2018-02-18	190.631	141.809	171.514	Flat
1	2017-11-20	AMBA	54.975	2017-11-24	56.896	53.013	54.148	Down	2017-12-17	59.481	50.23	55.957	Flat	2018-01-18	64.549	45.76	60.096	Up	2018-02-18	69.64	46.054	64.962	Up
2	2017-11-20	AMCN	2.115	2017-11-24	3.472	2.101	3.437	Up	2017-12-17		0.0		Flat	2018-01-18		0.0		Flat	2018-02-18	3.535	1.862	2.548	Flat
3	2017-11-20	AMD	11.35	2017-11-24	12.348	11.14	12.04	Up	2017-12-17	12.366	10.444	11.663	Flat	2018-01-18	13.898	9.521	12.657	Up	2018-02-18	14.172	9.808	11.848	Flat
4	2017-11-20	ATHM	60.86	2017-11-24	62.727	51.464	53.039	Down	2017-12-17				Flat	2018-01-18				Flat	2018-02-18	65.142	39.596	57.242	Up
5	2017-11-20	ATVI	63.73	2017-11-24	64.916	60.106	64.086	Up	2017-12-17	66.24	55.848	60.603	Flat	2018-01-18	66.111	49.182	62.241	Up	2018-02-18	73.628	55.567	63.905	Flat
6	2017-11-20	BABA	188.305	2017-11-24	190.445	181.297	186.905	Flat	2017-12-17	194.905	176.45	185.057	Flat	2018-01-18	195.083	162.066	185.818	Up	2018-02-18	209.499	154.079	183.909	Flat
7	2017-11-20	BIDU	240.145	2017-11-24	245.364	226.835	237.902	Flat	2017-12-17	266.23	220.486	250.088	Flat	2018-01-18	257.47	181.737	217.643	Flat	2018-02-18	276.666	205.316	235.042	Flat
8	2017-11-20	CTRP	47.68	2017-11-24	48.609	46.845	48.261	Up	2017-12-17	48.305	44.129	44.881	Down	2018-01-18	55.915	44.289	49.312	Flat	2018-02-18	57.041	45.54	51.271	Flat
9	2017-11-20	FB	178.8	2017-11-24	181.409	172.965	177.995	Flat	2017-12-17	187.534	168.621	179.466	Flat	2018-01-18	196.087	142.784	181.354	Up	2018-02-18	191.557	141.719	168.016	Flat
10	2017-11-20	FIT	6.315	2017-11-24	6.53	5.906	6.214	Flat	2017-12-17	6.634	5.919	6.439	Up	2018-01-18	8.963	4.546	6.556	Flat	2018-02-18	8.48	5.075	7.669	Up
11	2017-11-20	GME	16.245	2017-11-24	18.044	16.182	16.363	Down	2017-12-17	17.68	15.091	16.736	Flat	2018-01-18	22.732	15.892	17.847	Down	2018-02-18	21.0	14.352	17.443	Flat
12	2017-11-20	GOOG	1020.055	2017-11-24	1047.895	998.842	1027.394	Flat	2017-12-17	1103.013	922.292	1017.592	Flat	2018-01-18	1084.325	758.941	946.58	Flat	2018-02-18	1153.593	941.972	1119.075	Up
13	2017-11-20	GPRO	8.405	2017-11-24	9.114	8.915	9.05	Up	2017-12-17	10.367	8.332	8.984	Down	2018-01-18	13.28	6.429	9.093	Flat	2018-02-18	11.349	7.365	9.29	Flat
14	2017-11-20	GRMN	61.47	2017-11-24	61.735	58.032	61.617	Up	2017-12-17	62.349	57.446	59.734	Flat	2018-01-18	62.486	39.112	56.807	Up	2018-02-18	64.63	46.328	59.463	Up
15	2017-11-20	GRPN	5.53	2017-11-24	5.6	4.839	5.442	Up	2017-12-17	6.5	4.968	5.935	Flat	2018-01-18	5.636	3.901	5.169	Up	2018-02-18	6.395	3.867	5.912	Up
