	Date	Symbol	TodayPrice	OpDate_0	callEst_0	putEst_0	combEst_0	Trend_0	OpDate_1	callEst_1	putEst_1	combEst_1	Trend_1	OpDate_2	callEst_2	putEst_2	combEst_2	Trend_2	OpDate_3	callEst_3	putEst_3	combEst_3	Trend_3
0	2017-11-21	AAPL	172.24	2017-11-24	174.692	165.806	170.848	Flat	2017-12-17	180.832	162.764	172.753	Flat	2018-01-18	181.503	131.078	159.979	Flat	2018-02-18	189.962	142.825	169.763	Flat
1	2017-11-21	AMBA	56.715	2017-11-24	56.988	53.097	54.453	Flat	2017-12-17	61.257	50.636	59.516	Up	2018-01-18	65.24	44.681	59.754	Up	2018-02-18	69.988	46.512	64.661	Up
2	2017-11-21	AMCN	2.125	2017-11-24	3.472	2.201	3.432	Up	2017-12-17	2.65	0.0	2.65	Up	2018-01-18	2.65	0.0	2.65	Up	2018-02-18	3.535	1.862	2.548	Flat
3	2017-11-21	AMD	11.365	2017-11-24	12.308	11.129	11.954	Up	2017-12-17	12.894	10.527	12.405	Up	2018-01-18	13.935	9.422	12.52	Up	2018-02-18	13.885	9.946	11.503	Flat
4	2017-11-21	ATHM	62.84	2017-11-24	65.447	55.516	59.447	Flat	2017-12-17	69.0	58.45	60.725	Down	2018-01-18	69.0	58.45	60.725	Down	2018-02-18	71.421	39.596	56.23	Flat
5	2017-11-21	ATVI	64.57	2017-11-24	65.058	60.164	64.34	Up	2017-12-17	66.834	55.972	62.944	Flat	2018-01-18	66.727	49.544	62.553	Up	2018-02-18	73.404	55.933	63.561	Flat
6	2017-11-21	BABA	190.18	2017-11-24	192.645	181.338	188.023	Flat	2017-12-17	196.702	178.478	186.933	Flat	2018-01-18	199.215	156.359	182.847	Flat	2018-02-18	209.3	154.093	181.19	Flat
7	2017-11-21	BIDU	243.55	2017-11-24	248.224	229.777	241.201	Flat	2017-12-17	268.858	222.927	250.427	Flat	2018-01-18	262.785	187.196	225.114	Flat	2018-02-18	284.507	213.107	259.376	Flat
8	2017-11-21	CTRP	48.085	2017-11-24	48.421	47.407	48.229	Up	2017-12-17	48.402	44.395	44.873	Down	2018-01-18	53.959	44.795	49.86	Flat	2018-02-18	59.208	45.477	50.772	Flat
9	2017-11-21	FB	180.31	2017-11-24	182.233	174.585	179.244	Flat	2017-12-17	186.922	169.39	179.337	Flat	2018-01-18	199.006	136.893	173.777	Flat	2018-02-18	191.057	146.663	172.029	Flat
10	2017-11-21	FIT	6.455	2017-11-24	6.611	5.934	6.265	Flat	2017-12-17	6.676	5.918	6.461	Up	2018-01-18	10.508	4.421	7.414	Flat	2018-02-18	8.229	5.128	7.443	Up
11	2017-11-21	GME	16.43	2017-11-24	17.88	15.842	16.27	Down	2017-12-17	17.765	15.511	17.672	Up	2018-01-18	22.125	15.713	18.173	Flat	2018-02-18	20.538	14.309	17.496	Flat
12	2017-11-21	GOOG	1027.265	2017-11-24	1046.003	1004.108	1030.603	Flat	2017-12-17	1095.517	928.936	1046.761	Up	2018-01-18	1095.327	689.633	969.583	Up	2018-02-18	1154.92	942.603	1117.16	Up
13	2017-11-21	GPRO	8.54	2017-11-24	9.386	9.0	9.315	Up	2017-12-17	10.176	8.31	9.457	Flat	2018-01-18	12.953	6.023	9.383	Flat	2018-02-18	11.389	7.568	9.58	Flat
14	2017-11-21	GRMN	62.115	2017-11-24	62.438	59.635	62.243	Up	2017-12-17	62.903	58.259	59.786	Down	2018-01-18	63.213	29.807	58.819	Up	2018-02-18	65.374	46.611	61.245	Up
15	2017-11-21	GRPN	5.605	2017-11-24	5.531	4.856	5.351	Up	2017-12-17	6.362	5.14	5.887	Flat	2018-01-18	5.7	4.154	5.353	Up	2018-02-18	6.489	3.867	5.924	Up
16	2017-11-21	INTL	43.205	2017-11-24	45.062	39.955	40.019	Down	2017-12-17	43.748	29.886	41.554	Up	2018-01-18	43.748	29.886	41.554	Up	2018-02-18	46.96	29.85	45.227	Up
17	2017-11-21	JD	39.93	2017-11-24	41.202	38.825	40.618	Up	2017-12-17	41.984	37.783	40.712	Up	2018-01-18	46.528	35.661	42.035	Flat	2018-02-18	47.338	34.914	41.332	Flat
18	2017-11-21	LC	4.28	2017-11-24	4.946	4.188	4.543	Flat	2017-12-17	7.46	4.027	5.804	Flat	2018-01-18	7.46	4.027	5.804	Flat	2018-02-18	6.102	4.003	5.623	Up
19	2017-11-21	LSCC	6.345	2017-11-24	7.291	5.573	7.061	Up	2017-12-17	7.228	2.5	7.157	Up	2018-01-18	7.228	2.5	7.157	Up	2018-02-18	7.228	2.5	7.157	Up
20	2017-11-21	MOMO	32.895	2017-11-24	33.313	30.264	32.691	Up	2017-12-17	35.035	27.773	32.414	Flat	2018-01-18	43.09	29.662	38.751	Up	2018-02-18	43.226	26.844	34.8	Flat
21	2017-11-21	MRVL	22.575	2017-11-24	22.989	20.746	22.608	Up	2017-12-17	23.864	21.33	22.657	Flat	2018-01-18	23.063	14.027	20.57	Up	2018-02-18	24.391	17.399	23.923	Up
22	2017-11-21	MSFT	83.29	2017-11-24	84.115	81.852	83.178	Flat	2017-12-17	86.078	79.525	83.639	Flat	2018-01-18	85.97	58.481	70.253	Flat	2018-02-18	88.904	75.19	84.869	Up
23	2017-11-21	NFLX	196.245	2017-11-24	199.007	190.38	195.564	Flat	2017-12-17	203.408	185.31	195.019	Flat	2018-01-18	204.628	121.473	158.766	Flat	2018-02-18	220.635	165.335	186.951	Flat
24	2017-11-21	NKE	59.145	2017-11-24	58.116	53.495	55.39	Flat	2017-12-17	60.173	53.046	59.454	Up	2018-01-18	61.493	51.23	55.271	Flat	2018-02-18	61.996	49.375	54.436	Flat
25	2017-11-21	NQ	4.265	2017-11-24	4.069	3.765	4.066	Up	2017-12-17	4.137	4.355	4.174	Up	2018-01-18	4.586	2.841	4.245	Up	2018-02-18	4.975	2.305	4.518	Up
26	2017-11-21	NTES	350.815	2017-11-24	358.265	327.518	344.69	Flat	2017-12-17	360.158	279.139	334.949	Up	2018-01-18	377.173	245.641	326.657	Flat	2018-02-18	386.421	261.955	293.717	Down
27	2017-11-21	NVDA	215.46	2017-11-24	220.458	206.748	214.119	Flat	2017-12-17	224.868	194.218	206.045	Flat	2018-01-18	224.852	138.43	181.061	Flat	2018-02-18	241.619	163.203	196.811	Flat
28	2017-11-21	PSTG	17.785	2017-11-24	19.301	16.401	19.0	Up	2017-12-17	18.735	10.521	17.202	Up	2018-01-18	18.735	10.521	17.202	Up	2018-02-18	21.627	14.596	21.437	Up
29	2017-11-21	PYPL	77.64	2017-11-24	78.845	73.353	77.045	Up	2017-12-17	80.606	69.66	76.214	Flat	2018-01-18	79.021	55.338	69.08	Flat	2018-02-18	84.211	62.689	79.474	Up
30	2017-11-21	QCOM	66.1	2017-11-24	67.214	65.183	66.404	Flat	2017-12-17	68.543	59.976	67.09	Up	2018-01-18	69.065	52.473	63.06	Flat	2018-02-18	71.47	52.95	62.017	Flat
31	2017-11-21	QD	17.605	2017-11-24	26.369	18.597	24.727	Up	2017-12-17	24.623	15.191	15.415	Down	2018-01-18	24.623	15.191	15.415	Down	2018-02-18	30.856	15.991	24.939	Flat
32	2017-11-21	QIWI	16.32	2017-11-24	18.31	15.248	16.846	Flat	2017-12-17	16.0	0.0	16.0	Up	2018-01-18	16.0	0.0	16.0	Up	2018-02-18	18.613	14.675	16.905	Flat
33	2017-11-21	RACE	111.85	2017-11-24	114.319	109.929	110.756	Down	2017-12-17	120.737	106.28	111.937	Flat	2018-01-18	119.194	90.552	107.322	Flat	2018-02-18	126.02	91.397	113.634	Flat
34	2017-11-21	RENN	9.975	2017-11-24	10.96	9.36	10.631	Up	2017-12-17	10.941	7.697	10.515	Up	2018-01-18	10.941	7.697	10.515	Up	2018-02-18	11.98	7.974	11.97	Up
35	2017-11-21	SFUN	4.67	2017-11-24	4.881	4.16	4.631	Flat	2017-12-17	5.955	4.26	5.712	Up	2018-01-18	5.955	4.26	5.712	Up	2018-02-18		4.3	4.3	Flat
36	2017-11-21	SINA	111.09	2017-11-24	125.434	94.985	113.403	Flat	2017-12-17	127.928	82.816	112.932	Flat	2018-01-18	127.928	82.816	112.932	Flat	2018-02-18	139.926	87.119	121.96	Flat
37	2017-11-21	SNAP	12.47	2017-11-24	14.405	12.221	13.454	Flat	2017-12-17	14.367	11.437	12.52	Flat	2018-01-18	17.254	11.186	14.223	Flat	2018-02-18	15.596	10.121	14.517	Up
38	2017-11-21	SQ	46.585	2017-11-24	47.71	43.444	45.711	Flat	2017-12-17	46.945	38.377	43.659	Flat	2018-01-18	48.334	33.761	44.928	Up	2018-02-18	49.854	31.273	42.162	Flat
39	2017-11-21	TSLA	313.47	2017-11-24	325.536	301.621	314.992	Flat	2017-12-17	336.545	291.712	315.729	Flat	2018-01-18	358.048	222.917	281.322	Flat	2018-02-18	371.515	263.835	306.062	Flat
40	2017-11-21	TWTR	21.495	2017-11-24	22.015	20.658	21.75	Up	2017-12-17	23.674	18.873	22.663	Up	2018-01-18	23.105	16.385	20.893	Up	2018-02-18	24.251	16.272	21.379	Flat
41	2017-11-21	VIPS	8.245	2017-11-24	8.659	8.308	8.481	Flat	2017-12-17	9.264	8.45	9.145	Up	2018-01-18	10.371	7.672	9.239	Flat	2018-02-18	11.485	7.21	8.621	Flat
42	2017-11-21	VRX	15.69	2017-11-24	15.764	14.019	15.268	Up	2017-12-17	16.316	13.957	15.752	Up	2018-01-18	23.842	12.763	19.462	Flat	2018-02-18	17.822	11.218	16.888	Up
43	2017-11-21	WB	121.71	2017-11-24	120.462	110.375	116.836	Flat	2017-12-17	109.313	96.054	107.268	Up	2018-01-18	121.627	68.584	97.356	Flat	2018-02-18	132.49	81.817	113.527	Flat
44	2017-11-21	XLNX	73.27	2017-11-24	74.617	68.409	72.793	Up	2017-12-17	84.838	67.246	76.251	Flat	2018-01-18	78.867	52.717	73.819	Up	2018-02-18	77.899	61.191	72.662	Up
45	2017-11-21	YELP	47.24	2017-11-24	48.913	45.46	46.988	Flat	2017-12-17	48.875	39.52	41.629	Down	2018-01-18	48.984	26.759	43.841	Up	2018-02-18	52.536	39.033	43.356	Down
46	2017-11-21	ZTO	17.0	2017-11-24	18.214	15.213	17.215	Flat	2017-12-17	17.429	14.048	16.356	Up	2018-01-18	17.429	14.048	16.356	Up	2018-02-18	18.533	13.531	18.139	Up
