	Date	Symbol	TodayPrice	OpDate_0	callEst_0	putEst_0	combEst_0	Trend_0	OpDate_1	callEst_1	putEst_1	combEst_1	Trend_1
0	2017-12-20	AAPL	174.35	2018-01-19	179.834	147.641	167.231	Flat	2018-02-16	185.147	155.711	175.804	Up
1	2017-12-20	AKAO	10.98	2018-01-19	14.372	10.219	13.892	Up	2018-02-16				Flat
2	2017-12-20	AMBA	58.51	2018-01-19	67.554	47.372	63.207	Up	2018-02-16	68.432	45.711	63.108	Up
3	2017-12-20	AMCN	1.71	2018-01-19	2.5	1.8	2.407	Up	2018-02-16	2.5	0.0	2.5	Up
4	2017-12-20	AMD	10.98	2018-01-19	12.478	10.022	11.487	Flat	2018-02-16	12.647	10.071	10.426	Down
5	2017-12-20	APRN	4.41	2018-01-19	6.344	4.353	4.789	Down	2018-02-16	5.163	3.5	4.537	Flat
6	2017-12-20	ATHM	64.44	2018-01-19	67.503	57.92	65.37	Up	2018-02-16	71.516	0.0	71.516	Up
7	2017-12-20	ATVI	64.38	2018-01-19	65.875	50.247	61.047	Up	2018-02-16	71.171	55.31	66.042	Up
8	2017-12-20	BA	297.9	2018-01-19	301.299	200.376	239.974	Flat	2018-02-16	302.075	263.863	289.626	Up
9	2017-12-20	BABA	172.64	2018-01-19	183.129	140.676	165.143	Flat	2018-02-16	191.449	160.339	183.371	Up
10	2017-12-20	BBY	66.73	2018-01-19	67.875	49.104	55.746	Flat	2018-02-16	69.134	62.37	66.528	Flat
11	2017-12-20	BIDU	233.37	2018-01-19	251.763	194.579	228.022	Flat	2018-02-16	263.759	201.961	220.805	Down
12	2017-12-20	CTRP	44.4	2018-01-19	51.27	43.42	47.046	Flat	2018-02-16	46.146	41.457	42.122	Down
13	2017-12-20	DDD	9.51	2018-01-19	12.208	9.331	10.484	Flat	2018-02-16	11.778	9.152	9.701	Down
14	2017-12-20	DFS	75.74	2018-01-19	75.859	42.72	65.241	Up	2018-02-16	78.503	73.109	75.545	Flat
15	2017-12-20	DLB	62.57	2018-01-19	63.532	57.906	63.053	Up	2018-02-16		0.0		Flat
16	2017-12-20	EFX	118.89	2018-01-19	125.393	83.419	99.615	Flat	2018-02-16	123.693	105.745	122.07	Up
17	2017-12-20	FB	177.89	2018-01-19	187.089	146.108	171.751	Flat	2018-02-16	190.522	161.714	182.454	Up
18	2017-12-20	FIT	6.19	2018-01-19	9.124	4.671	6.446	Flat	2018-02-16	7.614	5.729	6.95	Flat
19	2017-12-20	FL	46.29	2018-01-19	52.303	39.603	47.279	Flat	2018-02-16	48.244	37.356	42.85	Flat
20	2017-12-20	GLID	0.0	2018-01-19	0.0	0.0	0.0	Flat	2018-02-16	0.0	0.0	0.0	Flat
21	2017-12-20	GLUU	3.66	2018-01-19	4.05	3.142	3.762	Up	2018-02-16	4.383	3.244	3.269	Down
22	2017-12-20	GME	18.25	2018-01-19	22.297	17.624	18.748	Down	2018-02-16	19.941	17.01	19.589	Up
23	2017-12-20	GOOG	1064.95	2018-01-19	1106.931	896.665	1058.906	Up	2018-02-16	1125.453	1000.191	1094.575	Up
24	2017-12-20	GPRO	8.04	2018-01-19	11.927	7.856	9.558	Flat	2018-02-16	9.472	7.063	9.175	Up
25	2017-12-20	GRMN	58.8	2018-01-19	61.227	43.643	55.417	Flat	2018-02-16	61.159	56.499	58.537	Flat
26	2017-12-20	GRPN	5.39	2018-01-19	5.783	3.955	5.349	Up	2018-02-16	6.056	4.751	4.858	Down
27	2017-12-20	GRUB	74.09	2018-01-19	73.628	56.979	72.767	Up	2018-02-16	77.983	63.616	73.371	Up
28	2017-12-20	INTL	42.04	2018-01-19	44.082	37.793	42.523	Up	2018-02-16		0.0		Flat
29	2017-12-20	JD	42.16	2018-01-19	44.242	37.44	42.074	Up	2018-02-16	45.344	39.207	43.908	Up
30	2017-12-20	KMK	0.0	2018-01-19	0.0	0.0	0.0	Flat	2018-02-16	0.0	0.0	0.0	Flat
31	2017-12-20	LC	4.09	2018-01-19	6.537	3.688	5.14	Flat	2018-02-16	5.159	3.75	4.389	Flat
32	2017-12-20	LOGI	33.59	2018-01-19	35.763	31.473	33.8	Flat	2018-02-16	36.636	29.6	30.135	Down
33	2017-12-20	LSCC	5.76	2018-01-19	7.422	0.0	7.422	Up	2018-02-16	6.977	4.801	6.859	Up
34	2017-12-20	LUV	66.09	2018-01-19	66.703	52.162	63.395	Up	2018-02-16	67.422	61.406	66.253	Up
35	2017-12-20	M	25.33	2018-01-19	28.897	20.516	22.981	Down	2018-02-16	28.058	22.15	25.569	Flat
36	2017-12-20	MOMO	26.02	2018-01-19	39.259	25.292	34.303	Flat	2018-02-16	30.293	20.4	23.023	Down
37	2017-12-20	MRVL	22.31	2018-01-19	22.558	15.465	20.746	Up	2018-02-16	24.442	19.953	23.301	Up
38	2017-12-20	MSFT	85.52	2018-01-19	86.753	76.271	82.633	Flat	2018-02-16	88.402	77.456	85.798	Up
39	2017-12-20	NFLX	188.82	2018-01-19	199.706	134.458	167.008	Flat	2018-02-16	204.506	153.654	163.898	Down
40	2017-12-20	NKE	63.59	2018-01-19	65.71	55.71	60.728	Flat	2018-02-16	68.167	59.43	67.349	Up
41	2017-12-20	NQ	4.0	2018-01-19	4.386	2.926	4.043	Up	2018-02-16		0.0		Flat
42	2017-12-20	NTES	362.43	2018-01-19	376.403	279.972	344.787	Up	2018-02-16	396.719	301.929	350.299	Flat
43	2017-12-20	NVDA	196.8	2018-01-19	206.338	155.552	181.636	Flat	2018-02-16	221.924	179.038	202.847	Flat
44	2017-12-20	PSTG	16.91	2018-01-19	18.054	14.841	15.509	Down	2018-02-16	18.146	15.549	17.832	Up
45	2017-12-20	PYPL	74.0	2018-01-19	76.122	60.162	70.033	Flat	2018-02-16	79.965	69.032	76.414	Up
46	2017-12-20	QCOM	64.6	2018-01-19	68.704	54.343	63.032	Flat	2018-02-16	72.222	64.482	69.636	Flat
47	2017-12-20	QD	12.44	2018-01-19	15.151	10.981	12.74	Flat	2018-02-16	18.098	11.763	15.612	Flat
48	2017-12-20	QIWI	15.4	2018-01-19	15.872	13.962	14.891	Flat	2018-02-16	17.308	13.824	15.906	Flat
49	2017-12-20	RACE	105.56	2018-01-19	112.015	92.929	103.542	Flat	2018-02-16	123.202	89.734	111.407	Flat
50	2017-12-20	RCL	123.48	2018-01-19	127.825	83.602	105.279	Flat	2018-02-16	146.671	97.901	111.945	Down
51	2017-12-20	RDFN	26.48	2018-01-19	28.774	22.673	26.353	Flat	2018-02-16	29.961	23.272	26.071	Flat
52	2017-12-20	RENN	10.46	2018-01-19	11.031	8.344	10.635	Up	2018-02-16		9.75	9.75	Flat
53	2017-12-20	ROKU	52.89	2018-01-19	57.387	32.927	43.838	Flat	2018-02-16	65.211	44.965	48.685	Down
54	2017-12-20	SFUN	4.57	2018-01-19	5.924	4.312	5.689	Up	2018-02-16	5.271	2.85	5.133	Up
55	2017-12-20	SINA	102.83	2018-01-19	120.068	88.451	107.317	Flat	2018-02-16	112.113	95.474	100.793	Down
56	2017-12-20	SNAP	15.5	2018-01-19	18.688	13.774	15.731	Flat	2018-02-16	17.164	13.039	13.907	Down
57	2017-12-20	SQ	35.66	2018-01-19	39.501	33.237	37.226	Flat	2018-02-16	40.27	32.886	35.66	Flat
58	2017-12-20	TSLA	328.98	2018-01-19	370.081	250.96	309.826	Flat	2018-02-16	358.483	286.805	317.591	Flat
59	2017-12-20	TWTR	25.2	2018-01-19	27.045	18.416	24.812	Up	2018-02-16	27.749	20.481	27.326	Up
60	2017-12-20	VIPS	12.02	2018-01-19	12.753	8.746	11.684	Up	2018-02-16	12.29	9.094	11.295	Up
61	2017-12-20	VRX	20.89	2018-01-19	23.126	15.91	20.617	Flat	2018-02-16	23.254	17.872	21.278	Flat
62	2017-12-20	WB	105.53	2018-01-19	111.7	69.828	89.273	Flat	2018-02-16	120.858	94.674	111.785	Flat
63	2017-12-20	XLNX	68.99	2018-01-19	73.711	58.296	69.613	Up	2018-02-16	74.126	62.441	66.786	Flat
64	2017-12-20	YELP	43.32	2018-01-19	45.695	30.027	40.225	Flat	2018-02-16	47.983	39.049	43.347	Flat
65	2017-12-20	YRD	44.8	2018-01-19	47.663	36.737	40.617	Flat	2018-02-16	48.65	26.825	40.606	Flat
66	2017-12-20	ZNGA	3.96	2018-01-19	4.237	3.438	3.99	Up	2018-02-16	4.441	3.716	4.341	Up
67	2017-12-20	ZTO	15.65	2018-01-19	16.459	14.763	16.277	Up	2018-02-16	16.609	0.0	16.609	Up
